id,date,venue,city,state,country,tour,setlist_entries
5015,2026-05-23,"Roger Sherman Baldwin Park",Greenwich,CT,USA,"2026 Tour",0
5014,2026-01-24,"Moon Palace Golf & Spa Resort","Cancún",MEX,USA,"2026 Tour",0
5013,2026-01-23,"Moon Palace Golf & Spa Resort","Cancún",MEX,USA,"2026 Tour",0
5012,2026-01-22,"Moon Palace Golf & Spa Resort","Cancún",MEX,USA,"2026 Tour",0
8417,2026-01-22,"Roger Sherman Baldwin Park",Greenwich,CT,USA,"2026 Tour",0
5011,2025-10-16,"The Broadmoor","Colorado Springs",CO,USA,"2025 Tour",0
5010,2025-10-07,"Palm Beach Cannes",Cannes,FRA,USA,"2025 Tour",0
5009,2025-09-20,"Huntington Bank Stadium (University of Minnesota Twin Cities)",Minneapolis,MN,USA,"2025 Tour",0
5008,2025-09-13,[Unknown],Southampton,NY,USA,"2025 Tour",0
5007,2025-08-31,"The Gorge Amphitheatre",George,WA,USA,"2025 Tour",0
5006,2025-08-30,"The Gorge Amphitheatre",George,WA,USA,"2025 Tour",0
5005,2025-08-29,"The Gorge Amphitheatre",George,WA,USA,"2025 Tour",0
5004,2025-08-26,"Lake Tahoe Amphitheater at Caesars Republic (Caesars Republic Lake Tahoe)",Stateline,NV,USA,"2025 Tour",0
5003,2025-08-23,"Shoreline Amphitheatre at Mountain View","Mountain View",CA,USA,"2025 Tour",0
5002,2025-08-22,"Kia Forum",Inglewood,CA,USA,"2025 Tour",0
5001,2025-08-02,"Big Sky Events Arena","Big Sky",MT,USA,"2025 Tour",0
5000,2025-08-01,"Big Sky Events Arena","Big Sky",MT,USA,"2025 Tour",0
4999,2025-07-26,"Freedom Mortgage Pavilion",Camden,NJ,USA,"2025 Tour",0
4998,2025-07-25,"Freedom Mortgage Pavilion",Camden,NJ,USA,"2025 Tour",0
4997,2025-07-23,"BankNH Pavilion",Gilford,NH,USA,"2025 Tour",0
4996,2025-07-22,"BankNH Pavilion",Gilford,NH,USA,"2025 Tour",0
4995,2025-07-19,"Broadview Stage at Saratoga Performing Arts Center","Saratoga Springs",NY,USA,"2025 Tour",0
4994,2025-07-18,"Broadview Stage at Saratoga Performing Arts Center","Saratoga Springs",NY,USA,"2025 Tour",0
4993,2025-07-16,"Allianz Amphitheater at Riverfront",Richmond,VA,USA,"2025 Tour",0
4992,2025-07-15,"Allianz Amphitheater at Riverfront",Richmond,VA,USA,"2025 Tour",0
4991,2025-07-12,"Ruoff Music Center",Noblesville,IN,USA,"2025 Tour",0
4990,2025-07-11,"Ruoff Music Center",Noblesville,IN,USA,"2025 Tour",0
4989,2025-07-09,"Pine Knob Music Theatre",Clarkston,MI,USA,"2025 Tour",0
4988,2025-07-08,"Budweiser Stage",Toronto,ON,CAN,"2025 Tour",0
4987,2025-06-28,"Huntington Bank Pavilion at Northerly Island",Chicago,IL,USA,"2025 Tour",0
4986,2025-06-27,"Huntington Bank Pavilion at Northerly Island",Chicago,IL,USA,"2025 Tour",0
4985,2025-06-25,"Ameris Bank Amphitheatre",Alpharetta,GA,USA,"2025 Tour",0
4984,2025-06-24,"Coca-Cola Amphitheater",Birmingham,AL,USA,"2025 Tour",0
4983,2025-06-21,"Credit One Stadium",Charleston,SC,USA,"2025 Tour",0
4982,2025-06-20,"Credit One Stadium",Charleston,SC,USA,"2025 Tour",0
4981,2025-06-14,"Hollywood Casino Amphitheatre","Tinley Park",IL,USA,"2025 Tour",0
4980,2025-06-13,"Riverbend Music Center",Cincinnati,OH,USA,"2025 Tour",0
4979,2025-06-11,"Northwell Health at Jones Beach Theater",Wantagh,NY,USA,"2025 Tour",0
4978,2025-06-08,"Auditório Ibirapuera","São Paulo",SP,BRA,"2025 Tour",0
4977,2025-06-07,"Auditório Ibirapuera","São Paulo",SP,BRA,"2025 Tour",0
4976,2025-06-03,"PNC Bank Arts Center",Holmdel,NJ,USA,"2025 Tour",0
4975,2025-05-31,"Merriweather Post Pavilion",Columbia,MD,USA,"2025 Tour",0
4974,2025-05-30,"Blossom Music Center","Cuyahoga Falls",OH,USA,"2025 Tour",0
4973,2025-05-27,"Empower Federal Credit Union Amphitheater at Lakeview",Syracuse,NY,USA,"2025 Tour",0
4972,2025-05-25,"Harvard University Athletic Complex",Boston,MA,USA,"2025 Tour",0
4971,2025-05-24,"Bethel Woods Center for the Arts",Bethel,NY,USA,"2025 Tour",0
4970,2025-05-04,"First Ward Park",Charlotte,NC,USA,"2025 Tour",0
4969,2025-05-02,"White Oak Music Hall",Houston,TX,USA,"2025 Tour",0
4968,2025-04-30,"Tipitina's","New Orleans",LA,USA,"2025 Tour",0
4966,2025-04-27,"Preservation Hall","New Orleans",LA,USA,"2025 Tour",0
4967,2025-04-27,"Fair Grounds Race Course & Slots","New Orleans",LA,USA,"2025 Tour",0
4965,2025-04-09,"[Private residence]",Falmouth,MA,USA,"2025 Tour",0
4964,2025-03-15,"The Barn","Big Sky",MT,USA,"2025 Tour",0
4963,2025-01-31,"South Hall (Los Angeles Convention Center)","Los Angeles",CA,USA,"2025 Tour",0
