agent_path,tier,model,has_websearch,has_webfetch,permission_mode,total_issues
browser/tailwind-v4-specialist.md,sonnet,sonnet,YES,NO,not_set,1
content/Copywriter.md,sonnet,sonnet,YES,YES,not_set,2
content/blog-writer.md,sonnet,sonnet,YES,YES,not_set,2
content/content-strategist.md,sonnet,sonnet,YES,YES,not_set,2
content/social-media-manager.md,sonnet,sonnet,YES,YES,not_set,2
data/data-analyst.md,haiku,haiku,YES,NO,not_set,1
data/data-scientist.md,haiku,haiku,YES,NO,not_set,1
data/web-scraping-specialist.md,opus,opus,YES,YES,not_set,2
design/brand-designer.md,opus,opus,YES,NO,not_set,1
design/creative-director.md,haiku,haiku,YES,NO,not_set,1
design/design-lead.md,opus,opus,YES,NO,not_set,1
design/ux-designer.md,opus,opus,YES,NO,not_set,1
design/ux-researcher.md,haiku,haiku,YES,NO,not_set,1
design/web-designer.md,opus,opus,YES,NO,not_set,1
dmb-brand-dna-expert.md,haiku,haiku,YES,YES,not_set,2
dmb-expert.md,sonnet,sonnet,YES,YES,not_set,2
dmb-offline-first-architect.md,opus,opus,YES,NO,not_set,1
dmb-scraper-debugger.md,haiku,haiku,NO,YES,not_set,1
dmb-setlist-pattern-analyzer.md,haiku,haiku,NO,YES,not_set,1
dmb-show-analyzer.md,haiku,haiku,NO,YES,not_set,1
dmb-tour-optimizer.md,haiku,haiku,NO,YES,not_set,1
dmb/live-show-analyzer.md,haiku,haiku,NO,YES,not_set,1
dmb/tour-route-optimizer.md,sonnet,sonnet,NO,YES,not_set,1
dmbalmanac-scraper.md,haiku,haiku,YES,YES,not_set,2
dmbalmanac-site-expert.md,opus,opus,YES,YES,not_set,2
ecommerce/amazon-seller-specialist.md,haiku,haiku,YES,NO,not_set,1
ecommerce/e-commerce-analyst.md,haiku,haiku,YES,NO,not_set,1
ecommerce/e-commerce-strategist.md,haiku,haiku,YES,NO,not_set,1
ecommerce/etsy-specialist.md,haiku,haiku,YES,NO,not_set,1
ecommerce/pricing-strategist.md,sonnet,sonnet,YES,YES,not_set,2
ecommerce/print-on-demand-specialist.md,haiku,haiku,YES,NO,not_set,1
ecommerce/shopify-specialist.md,haiku,haiku,YES,NO,not_set,1
ecommerce/social-commerce-specialist.md,haiku,haiku,YES,NO,not_set,1
engineering/ai-ml-engineer.md,haiku,haiku,YES,NO,not_set,1
engineering/api-architect.md,opus,opus,YES,NO,not_set,1
engineering/bundle-size-analyzer.md,haiku,haiku,YES,NO,not_set,1
engineering/chromium-browser-expert.md,sonnet,sonnet,YES,NO,not_set,1
engineering/cloud-platform-architect.md,opus,opus,YES,NO,not_set,1
engineering/core-ml-optimization-expert.md,sonnet,sonnet,YES,NO,not_set,1
engineering/cross-platform-pwa-specialist.md,haiku,haiku,YES,NO,not_set,1
engineering/data-streaming-specialist.md,opus,opus,YES,NO,not_set,1
engineering/database-migration-specialist.md,sonnet,sonnet,YES,NO,not_set,1
engineering/database-specialist.md,opus,opus,YES,NO,not_set,1
engineering/devops-engineer.md,sonnet,sonnet,YES,NO,not_set,1
engineering/expert-planner.md,opus,opus,YES,NO,not_set,1
engineering/google-apis-specialist.md,sonnet,sonnet,YES,NO,not_set,1
engineering/i18n-specialist.md,haiku,haiku,YES,NO,not_set,1
engineering/lighthouse-webvitals-expert.md,haiku,haiku,YES,NO,not_set,1
engineering/llm-application-architect.md,opus,opus,YES,NO,not_set,1
engineering/microservices-architect.md,opus,opus,YES,NO,not_set,1
engineering/mongodb-specialist.md,opus,opus,YES,NO,not_set,1
engineering/monorepo-tooling-specialist.md,sonnet,sonnet,YES,NO,not_set,1
engineering/npm-ecosystem-specialist.md,sonnet,sonnet,YES,NO,not_set,1
engineering/observability-architect.md,opus,opus,YES,NO,not_set,1
engineering/push-notification-specialist.md,sonnet,sonnet,YES,NO,not_set,1
engineering/real-time-systems-specialist.md,opus,opus,YES,NO,not_set,1
engineering/redis-cache-specialist.md,opus,opus,YES,NO,not_set,1
engineering/system-architect.md,opus,opus,YES,NO,not_set,1
events/creative-event-brainstormer.md,opus,opus,YES,YES,not_set,2
events/event-marketing-specialist.md,haiku,haiku,YES,YES,not_set,2
events/live-event-producer.md,haiku,haiku,YES,YES,not_set,2
events/technical-director.md,opus,opus,YES,NO,not_set,1
events/tour-manager.md,haiku,haiku,YES,YES,not_set,2
fusion/ai-product-fusion-agent.md,opus,opus,YES,NO,not_set,1
fusion/data-analytics-fusion-agent.md,sonnet,sonnet,YES,NO,not_set,1
google/gemini-integration-specialist.md,haiku,haiku,YES,YES,not_set,2
google/google-ai-studio-guide.md,sonnet,sonnet,YES,YES,not_set,2
google/google-labs-creative-guide.md,haiku,haiku,YES,YES,not_set,2
google/google-workflow-automation-specialist.md,haiku,haiku,YES,YES,not_set,2
google/google-workspace-productivity-specialist.md,haiku,haiku,YES,YES,not_set,2
google/imagen-creative-specialist.md,haiku,haiku,YES,YES,not_set,2
google/veo-video-generation-specialist.md,sonnet,sonnet,YES,YES,not_set,2
growth/analytics-specialist.md,haiku,haiku,YES,NO,not_set,1
growth/growth-hacker.md,haiku,haiku,YES,NO,not_set,1
growth/growth-lead.md,haiku,haiku,YES,NO,not_set,1
marketing/affiliate-marketing-specialist.md,haiku,haiku,YES,NO,not_set,1
marketing/email-marketer.md,haiku,haiku,YES,YES,not_set,2
marketing/email-marketing-automation-specialist.md,haiku,haiku,YES,YES,not_set,2
marketing/head-of-marketing.md,haiku,haiku,YES,YES,not_set,2
marketing/influencer-marketing-specialist.md,haiku,haiku,YES,NO,not_set,1
marketing/performance-marketer.md,sonnet,sonnet,YES,YES,not_set,2
marketing/seo-specialist.md,haiku,haiku,YES,YES,not_set,2
marketing/short-form-video-strategist.md,haiku,haiku,YES,YES,not_set,2
operations/finance-ops.md,sonnet,sonnet,YES,NO,not_set,1
operations/hr-people-ops.md,sonnet,sonnet,YES,NO,not_set,1
operations/legal-advisor.md,haiku,haiku,YES,NO,not_set,1
operations/operations-manager.md,haiku,haiku,YES,NO,not_set,1
product/experiment-analyzer.md,haiku,haiku,YES,NO,not_set,1
product/experiment-designer.md,opus,opus,YES,NO,not_set,1
product/product-analyst.md,sonnet,sonnet,YES,NO,not_set,1
product/product-manager.md,haiku,haiku,YES,NO,not_set,1
